#title	runtime	rating	genre	image_path	imdb_url	soup_url	type
Samurai Cop 2: Deadly Vengeance	5640	4.2	Action, Crime, Thriller	./images/Samurai_Cop_2:_Deadly_Vengeance_(2015).jpg	http://www.imdb.com/title/tt3398252/	https://moviebarcode.tumblr.com/page/13	movie
Of Mice and Men	6900	7.5	Drama, Western	./images/Of_Mice_and_Men_(1992).jpg	http://www.imdb.com/title/tt0105046/	https://moviebarcode.tumblr.com/page/13	movie
The Lobster	7140	7.1	Drama, Romance, Sci-Fi, Thriller	./images/The_Lobster_(2015).jpg	http://www.imdb.com/title/tt3464902/	https://moviebarcode.tumblr.com/page/13	movie
Star Wars: Episode VII - The Force Awakens	8280	7.8	Action, Adventure, Sci-Fi	./images/Sequence_from_Star_Wars:_Episode_VII_-_The_Force_Awakens_(2015).jpg	http://www.imdb.com/title/tt2488496/	https://moviebarcode.tumblr.com/page/13	movie
Samba	7080	6.7	Comedy, Drama, Romance	./images/Samba_(2014).jpg	http://www.imdb.com/title/tt3399024/	https://moviebarcode.tumblr.com/page/13	movie
Il capitale umano	6660	7.2	Crime, Drama	./images/Il_capitale_umano__Human_Capital_(2013).jpg	http://www.imdb.com/title/tt2465578/	https://moviebarcode.tumblr.com/page/14	movie
The Second Best Exotic Marigold Hotel	7320	6.5	Comedy, Drama, Romance	./images/The_Second_Best_Exotic_Marigold_Hotel_(2015).jpg	http://www.imdb.com/title/tt2555736/	https://moviebarcode.tumblr.com/page/14	movie
Irrational Man	5700	6.6	Comedy, Crime, Drama, Romance	./images/Irrational_Man_(2015).jpg	http://www.imdb.com/title/tt3715320/	https://moviebarcode.tumblr.com/page/14	movie
Pather Panchali	7500	8.3	Drama	./images/Pather_Panchali_(1955).jpg	http://www.imdb.com/title/tt0048473/	https://moviebarcode.tumblr.com/page/14	movie
Mr. Holmes	6240	6.8	Drama, Mystery	./images/Mr._Holmes_(2015).jpg	http://www.imdb.com/title/tt3168230/	https://moviebarcode.tumblr.com/page/14	movie
The Honey Pot	9000	6.8	Comedy, Crime, Mystery	./images/The_Honey_Pot_(1967).jpg	http://www.imdb.com/title/tt0061780/	https://moviebarcode.tumblr.com/page/14	movie
Kiseijuu	6540	6.9	Action, Drama, Horror, Sci-Fi	./images/Kiseijuu__Parasyte_Part_1_(2014).jpg	http://www.imdb.com/title/tt3345472/	https://moviebarcode.tumblr.com/page/14	movie
Bring It On	5880	6.1	Comedy, Romance, Sport	./images/Bring_It_On_(2000).jpg	http://www.imdb.com/title/tt0204946/	https://moviebarcode.tumblr.com/page/14	movie
Sommaren med Monika	5760	7.5	Drama, Romance	./images/Sommaren_med_Monika__Summer_with_Monika_(1953).jpg	http://www.imdb.com/title/tt0046345/	https://moviebarcode.tumblr.com/page/14	movie
Macbeth	6780	6.6	Drama, History, War	./images/Macbeth_(2015).jpg	http://www.imdb.com/title/tt2884018/	https://moviebarcode.tumblr.com/page/15	movie
